"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Overwatch","1905","3735","1","6","232","7.307086"
"2","Team Fortress 2","1725","5460","2","11","372","12.93913"
"3","Just Chatting","405","1710","3","9","60","8.888888"
"4","Deus Ex: Human Revolution - Director's Cut","75","225","3","5","9","7.2"
"5","Counter-Strike: Global Offensive","45","165","3","5","6","8"
"6","Destiny 2","15","0","0","0","0","0"
