"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Counter-Strike: Global Offensive","1245","23835","19","31","546","26.313253"
"2","PUBG: BATTLEGROUNDS","690","16800","24","37","456","39.652173"
"3","Just Chatting","435","9195","20","56","394","54.344827"
"4","Grand Theft Auto V","150","3225","21","28","69","27.6"
"5","Halo: The Master Chief Collection","90","2325","25","32","62","41.333333"
"6","Rock of Ages","75","1275","17","21","34","27.2"
"7","L.A. Noire","75","1245","16","18","26","20.8"
"8","Retro","45","825","18","22","19","25.333333"
"9","Halo 5: Guardians","15","315","21","21","20","80"
