"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tekken 7","1260","3615","2","11","106","5.047619"
"2","Killer7","465","2340","5","8","37","4.774193"
"3","FINAL FANTASY VII","390","1665","4","7","31","4.76923"
"4","Super Mario 64","360","1650","4","13","28","4.666666"
"5","Tales of Symphonia: Dawn of the New World","300","720","2","5","24","4.8"
"6","Mario Party 6","300","1035","3","7","25","5"
"7","Metal Gear Solid: The Twin Snakes","300","1050","3","9","23","4.6"
"8","Harry Potter and the Chamber of Secrets","255","1545","6","10","38","8.941176"
"9","Dead by Daylight","240","360","1","4","24","6"
"10","Super Mario Sunshine","225","780","3","5","17","4.533333"
"11","Phantasy Star Online Episode I & II","210","975","4","6","19","5.428571"
"12","Zone of the Enders: The 2nd Runner","180","465","2","5","6","2"
"13","Mario Party 7","120","315","2","5","5","2.5"
"14","Resident Evil 2","75","1335","17","35","18","14.4"
"15","BlazBlue: Central Fiction","15","60","4","4","0","0"
"16","Pokémon FireRed/LeafGreen","15","15","1","1","0","0"
