"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FINAL FANTASY XIV ONLINE","1470","1425","0","4","46","1.877551"
"2","League of Legends","1440","1215","0","3","36","1.5"
"3","DARK SOULS III","225","210","0","2","9","2.4"
"4","The Witcher 3: Wild Hunt","210","255","1","3","12","3.428571"
"5","Final Fantasy XIV: Shadowbringers","210","390","1","3","5","1.428571"
"6","Warframe","150","135","0","2","0","0"
"7","Bloodstained: Ritual of the Night","120","180","1","2","6","3"
"8","Blood & Truth","75","30","0","1","2","1.6"
"9","The Forest","75","45","0","1","3","2.4"
"10","Marvel's Spider-Man","75","150","2","3","5","4"
"11","Gears 5","60","60","1","1","2","2"
"12","Escape from Tarkov","60","75","1","2","2","2"
"13","Rust","60","195","3","4","4","4"
"14","Don't Starve Together","60","90","1","2","5","5"
"15","Gears of War 4","45","30","0","1","0","0"
"16","Warhammer: Chaosbane","45","90","2","3","6","8"
"17","Wolfenstein: Youngblood","30","0","0","0","4","8"
"18","Wolfenstein: Cyberpilot","30","0","0","0","4","8"
"19","Sprint Vector","30","15","0","1","1","2"
"20","VR Dungeon Knight","30","30","1","1","0","0"
"21","Deus Ex: Mankind Divided","30","60","2","3","6","12"
"22","Thumper","15","15","1","1","0","0"
"23","Vagrant Story","15","0","0","0","0","0"
"24","MORDHAU","15","45","3","3","1","4"
"25","Firewall Zero Hour","15","0","0","0","0","0"
"26","The Persistence","15","30","2","2","2","8"
