"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Friday 19th July 2019 18:39","https://sullygnome.com/channel/jagolewahar/stream/34965977712","261","18009","69","160","1","0","5243","1233","Travel &amp; Outdoors"
"2","Wednesday 17th July 2019 18:31","https://sullygnome.com/channel/jagolewahar/stream/34940896480","179","2148","12","25","-6","-1","264","81","Travel &amp; Outdoors"
