"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","1695","37080","20","43","2433","86.123893"
"2","Minecraft","1095","21180","18","34","825","45.205479"
"3","Call of Duty: Black Ops 4","945","17565","18","34","552","35.047619"
"4","Apex Legends","660","12045","18","30","373","33.90909"
"5","Diablo III","315","5715","17","26","242","46.095238"
"6","Outlast","315","5415","16","24","210","40"
"7","Fortnite","285","5820","20","26","163","34.315789"
"8","Overwatch","225","4635","19","33","272","72.533333"
"9","Dead by Daylight","180","4545","24","36","241","80.333333"
"10","Teamfight Tactics","165","3510","20","31","93","33.818181"
"11","Friday the 13th: The Game","165","3375","19","28","136","49.454545"
"12","Garry's Mod","150","2520","16","25","118","47.2"
"13","Unlisted on Twitch","90","1725","16","29","107","71.333333"
"14","Counter-Strike","90","1695","18","24","83","55.333333"
"15","Rocket League","60","1755","29","32","87","87"
"16","Call of Duty: Black Ops III","30","375","12","13","17","34"
"17","Art","15","255","17","17","24","96"
