"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","3375","60510","16","49","1124","19.982222"
"2","Metro Exodus","1470","19200","12","21","527","21.510204"
"3","Resident Evil 2","885","13665","14","37","345","23.38983"
"4","Overwatch","720","10005","13","29","308","25.666666"
"5","Just Dance 2019","540","7605","13","23","307","34.111111"
"6","Just Chatting","540","9180","17","37","226","25.111111"
"7","Dead by Daylight","375","6285","16","21","147","23.52"
"8","The First Tree","180","2175","12","15","43","14.333333"
"9","Just Dance 2015","120","1995","14","21","78","39"
