"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","1740","17670","9","23","423","14.586206"
"2","Tom Clancy's Rainbow Six Siege","1050","9450","8","16","186","10.628571"
"3","The Legend of Zelda: Twilight Princess","675","4785","7","11","64","5.688888"
"4","Just Chatting","510","5880","10","28","289","34"
"5","Grand Theft Auto: San Andreas","315","6210","18","40","239","45.523809"
"6","Super Mario Sunshine","165","1125","6","9","33","12"
"7","Halo 2","135","1140","8","14","19","8.444444"
"8","The Legend of Zelda: A Link to the Past","135","1680","13","17","9","4"
"9","DOOM","105","3300","31","62","140","80"
"10","Ghost of a Tale","105","855","8","9","36","20.571428"
"11","Retro","75","1065","14","16","26","20.8"
"12","Minecraft","60","465","7","9","17","17"
"13","Call of Duty: Black Ops 4","45","510","11","12","9","12"
"14","Ring of Elysium","45","1005","22","24","11","14.666666"
