"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Halo: The Master Chief Collection","2100","2760","1","5","44","1.257142"
"2","Fortnite","225","225","1","2","5","1.333333"
"3","Ragnarok Online","30","0","0","0","1","2"
