"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","PUBG: BATTLEGROUNDS","1530","8820","4","19","589","23.098039"
"2","Fortnite","855","9525","8","35","559","39.22807"
"3","Overwatch","345","8445","21","62","495","86.086956"
"4","Clash Royale","135","1230","8","15","95","42.222222"
"5","SMITE","135","3150","24","37","196","87.111111"
"6","Arena of Valor","105","2190","20","24","208","118.857142"
"7","Brawl Stars","75","915","14","27","21","16.8"
"8","Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda","75","255","3","6","35","28"
"9","Apex Legends","60","150","3","5","27","27"
"10","Teamfight Tactics","30","180","6","7","17","34"
"11","Just Chatting","15","15","1","1","5","20"
