"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Rocket League","1485","10530","6","18","636","25.696969"
"2","Grand Theft Auto V","375","1680","4","9","173","27.68"
"3","Unlisted on Twitch","90","660","6","11","48","32"
"4","Subnautica","45","240","5","6","12","16"
"5","Just Chatting","15","90","6","6","0","0"
