"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Teamfight Tactics","1725","13425","6","111","1072","37.286956"
"2","Star Wars: Knights of the Old Republic","1095","5295","4","20","543","29.753424"
"3","SMITE","255","2415","14","20","144","33.882352"
"4","Dota Underlords","60","330","5","6","6","6"
