"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","990","9045","8","30","344","20.848484"
"2","Gears 5","390","3180","7","14","96","14.76923"
"3","FIFA 19","375","3090","12","25","218","34.88"
"4","Rocket League","75","180","2","3","19","15.2"
"5","Just Chatting","60","450","8","9","29","29"
"6","Dead by Daylight","45","210","4","7","14","18.666666"
