"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tekken 7","3105","76800","24","53","9268","179.091787"
"2","Visage","285","8415","29","42","1269","267.157894"
"3","Marbles on Stream","150","2925","21","37","527","210.8"
"4","Portal 2","150","5010","33","47","696","278.4"
"5","FINAL FANTASY XIV ONLINE","150","4065","27","35","630","252"
"6","Kenshi","135","615","4","7","36","16"
"7","For Honor","135","825","6","9","18","8"
"8","FINAL FANTASY XV","135","4005","29","37","465","206.666666"
"9","Silent Hill","120","885","7","11","36","18"
"10","Unlisted on Twitch","90","1365","13","34","335","223.333333"
"11","Just Chatting","60","420","7","7","11","11"
"12","Immortal Redneck","60","1485","24","27","94","94"
"13","Teppen","45","240","5","8","35","46.666666"
