"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Hollow Knight","2895","19305","6","30","229","4.746113"
"2","TETRIS 99","705","3615","4","9","46","3.914893"
"3","Mario Kart 8","450","4230","8","14","35","4.666666"
"4","Persona 5","315","1500","4","9","37","7.047619"
"5","Destiny 2","285","1035","3","7","20","4.210526"
"6","Stardew Valley","135","660","4","9","6","2.666666"
"7","Tricky Towers","135","510","3","5","3","1.333333"
"8","Super Mario Party","105","450","4","6","7","4"
"9","Enter the Gungeon","90","540","6","7","5","3.333333"
"10","Overcooked!","75","165","2","3","1","0.8"
"11","Dead by Daylight","60","135","2","3","4","4"
"12","UNO","30","90","3","3","9","18"
"13","Dark Cloud","30","45","1","2","0","0"
"14","Just Chatting","15","75","5","5","0","0"
