"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","6285","25125","3","10","535","5.107398"
"2","Slay the Spire","3630","11760","2","9","298","4.925619"
"3","Dota 2","975","3420","3","7","78","4.8"
"4","Overwatch","555","1785","2","6","29","3.135135"
"5","Counter-Strike: Global Offensive","345","2505","7","12","77","13.391304"
"6","Marvel's Spider-Man","315","960","3","8","70","13.333333"
"7","Rust","255","1275","5","11","40","9.411764"
"8","Titanfall 2","150","330","2","4","17","6.8"
"9","Unlisted on Twitch","105","285","2","3","9","5.142857"
"10","Dota Underlords","90","315","3","4","6","4"
"11","Magic: The Gathering","60","180","3","4","4","4"
