"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FINAL FANTASY XIV ONLINE","1605","223605","117","778","3929","146.878504"
"2","The Witcher 3: Wild Hunt","570","38535","50","89","1018","107.157894"
"3","Dead by Daylight","555","287085","318","6615","60804","6573.405405"
"4","Overwatch","495","42270","90","114","931","112.848484"
"5","Sea of Thieves","495","33390","64","89","1054","127.757575"
"6","BioShock","360","105330","186","701","18862","3143.666666"
"7","BioShock 2","285","181440","636","2087","50179","10564"
"8","BioShock Infinite","240","140160","584","1808","41342","10335.5"
"9","Just Chatting","75","4920","65","97","160","128"
"10","Monster Hunter: World","45","1410","31","40","88","117.333333"
"11","Marbles on Stream","15","11955","797","797","2272","9088"
