"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Banjo-Kazooie","3405","52560","12","505","1091","19.224669"
"2","Land of Illusion Starring Mickey Mouse","135","1260","9","11","21","9.333333"
"3","Lord of the Sword","120","420","3","6","17","8.5"
