"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Mario Maker 2","2760","59550","18","47","855","18.586956"
"2","Apex Legends","960","12630","13","31","146","9.125"
"3","Fortnite","900","15090","17","30","270","18"
"4","Splatoon 2","525","8055","14","23","162","18.514285"
"5","Retro","300","5130","17","24","75","15"
"6","Mario Kart 8","255","5550","21","26","74","17.411764"
"7","The Jackbox Party Pack 5","135","3615","26","32","54","24"
"8","Super Smash Bros. Ultimate","90","1440","16","22","33","22"
"9","Just Chatting","30","420","14","16","0","0"
"10","PUBG: BATTLEGROUNDS","30","600","20","23","26","52"
