"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Teamfight Tactics","450","1005","2","6","35","4.666666"
"2","League of Legends","240","375","1","4","17","4.25"
"3","Just Chatting","120","180","1","3","15","7.5"
