"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","ROBLOX","5595","143325","24","56","8140","87.292225"
"2","Minecraft","855","10770","12","25","641","44.982456"
"3","Art","660","7845","10","20","327","29.727272"
"4","VRChat","615","7320","11","19","427","41.658536"
"5","Teamfight Tactics","435","4875","9","21","600","82.75862"
"6","Left 4 Dead 2","150","2625","17","23","129","51.6"
"7","skribbl.io","120","2025","16","24","88","44"
"8","Just Chatting","105","1185","17","25","116","66.285714"
"9","Realm Royale Reforged","60","525","8","10","72","72"
"10","Counter-Strike: Global Offensive","30","390","13","13","49","98"
