"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Council","1305","6000","3","21","213","9.793103"
"2","Mind Snares: Alice's Journey","240","420","1","3","10","2.5"
"3","Twitch Sings","225","900","3","8","24","6.4"
"4","The Legend of Zelda: Breath of the Wild","195","4755","24","63","133","40.923076"
"5","Last Day of June","195","705","3","5","6","1.846153"
"6","Cooking Simulator","90","240","2","4","6","4"
"7","Judgement","45","165","3","5","2","2.666666"
"8","Just Chatting","30","30","1","1","0","0"
