"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Farming Simulator 19","735","64215","80","188","2414","197.061224"
"2","Euro Truck Simulator 2","315","38985","118","245","3051","581.142857"
"3","Just Chatting","225","16260","108","254","995","265.333333"
"4","DiRT Rally 2.0","165","10800","99","142","247","89.818181"
"5","Forza Horizon 4","165","10020","60","72","267","97.090909"
"6","FIA European Truck Racing Championship","120","6045","50","61","221","110.5"
"7","BeamNG.drive","105","4140","36","53","78","44.571428"
"8","Train Sim World","75","4095","54","62","213","170.4"
"9","Grand Theft Auto V","75","2640","35","38","101","80.8"
"10","Minecraft","60","8565","142","163","801","801"
"11","Flashing Lights - Police Fire EMS","60","2040","34","43","80","80"
"12","My Summer Car","30","4290","143","143","128","256"
"13","MudRunner","30","4305","143","144","128","256"
"14","Spintires","15","2160","144","144","334","1336"
