"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Friday 5th July 2019 10:00","https://sullygnome.com/channel/krol1k_/stream/34786905664","105","0","0","1","2","1","12","6","Science &amp; Technology"
"2","Thursday 4th July 2019 20:45","https://sullygnome.com/channel/krol1k_/stream/34781312944","195","0","0","2","1","0","11","3","Science &amp; Technology"
"3","Thursday 4th July 2019 18:15","https://sullygnome.com/channel/krol1k_/stream/34779612656","90","270","3","5","0","0","14","8","Science &amp; Technology"
"4","Wednesday 3rd July 2019 18:38","https://sullygnome.com/channel/krol1k_/stream/34767430896","322","3542","11","23","2","0","132","24","Science &amp; Technology"
"5","Tuesday 2nd July 2019 17:31","https://sullygnome.com/channel/krol1k_/stream/34753938192","299","8671","29","41","3","0","233","46","Science &amp; Technology"
"6","Tuesday 2nd July 2019 13:45","https://sullygnome.com/channel/krol1k_/stream/34751655216","75","0","0","1","0","0","10","6","Science &amp; Technology"
"7","Tuesday 2nd July 2019 13:15","https://sullygnome.com/channel/krol1k_/stream/34751368912","0","0","0","1","0","0","3","12","Science &amp; Technology"
"8","Tuesday 2nd July 2019 12:00","https://sullygnome.com/channel/krol1k_/stream/34750972640","30","60","2","3","0","0","2","2","Science &amp; Technology"
"9","Monday 1st July 2019 23:15","https://sullygnome.com/channel/krol1k_/stream/34745382192","15","15","1","1","0","0","13","26","Science &amp; Technology"
"10","Monday 1st July 2019 18:30","https://sullygnome.com/channel/krol1k_/stream/34742040048","135","1755","13","17","0","0","85","34","Science &amp; Technology"
"11","Monday 1st July 2019 17:31","https://sullygnome.com/channel/krol1k_/stream/34741646640","29","203","7","17","0","0","66","88","Science &amp; Technology"
"12","Monday 1st July 2019 14:00","https://sullygnome.com/channel/krol1k_/stream/34739643744","45","45","1","2","0","0","13","13","Science &amp; Technology"
