"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Phoenix Wright: Ace Attorney Trilogy HD","3060","54180","17","40","847","16.607843"
"2","DARK SOULS III","1530","46995","28","123","625","24.509803"
"3","The Jackbox Party Pack 4","690","16320","23","34","412","35.826086"
"4","Super Mario Maker 2","645","9885","15","32","156","14.511627"
"5","Forager","390","4785","12","17","80","12.307692"
"6","When Ski Lifts Go Wrong","315","3135","9","13","50","9.523809"
"7","Reventure","225","4170","18","24","91","24.266666"
"8","Twitch Sings","195","2865","14","21","50","15.384615"
"9","Gloomhaven","195","3660","18","25","79","24.307692"
"10","Super Smash Bros. Ultimate","90","1275","14","21","15","10"
"11","Fortnite","75","975","13","15","33","26.4"
"12","Overwatch","75","465","6","10","19","15.2"
