"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","MORDHAU","1215","2955","1","8","70","3.45679"
"2","Sid Meier's Civilization VI: Gathering Storm","1200","2670","2","5","92","4.6"
"3","Rising Storm 2: Vietnam","1065","2070","1","5","53","2.985915"
"4","Rocket League","810","1845","1","4","22","1.629629"
"5","Medieval II: Total War","780","2400","2","6","36","2.76923"
"6","Dungeons & Dragons","585","1335","1","5","23","2.358974"
"7","Minecraft","525","1470","2","6","83","9.485714"
"8","Insurgency: Sandstorm","495","1095","1","6","27","3.272727"
"9","Squad","450","915","1","3","13","1.733333"
"10","Total War: Shogun 2","345","705","1","4","12","2.086956"
"11","Sid Meier's Civilization VI","240","945","3","6","17","4.25"
"12","Just Chatting","240","615","2","4","9","2.25"
"13","Total War: Warhammer","225","450","2","2","6","1.6"
"14","Half-Life","225","600","2","5","12","3.2"
"15","Medieval II: Total War - Kingdoms","195","555","2","6","5","1.538461"
"16","Post Scriptum","105","450","4","5","8","4.571428"
"17","Blackwake","75","120","1","2","3","2.4"
"18","Raft","60","105","1","2","1","1"
"19","SCUM","45","90","2","3","2","2.666666"
"20","FINAL FANTASY XV","45","105","2","3","1","1.333333"
"21","Chess","30","90","3","3","2","4"
