"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Minecraft","9585","192165","19","90","4036","25.264475"
"2","Super Mario Maker 2","960","16215","16","22","690","43.125"
"3","Dota Underlords","915","13485","14","26","294","19.278688"
"4","Risk of Rain 2","255","2895","11","16","107","25.17647"
"5","Krunker","210","6075","26","39","432","123.428571"
"6","Super Smash Bros. Ultimate","210","3375","16","25","518","148"
"7","Brawlhalla","135","2400","16","22","66","29.333333"
"8","Super Mario Party","90","960","10","12","8","5.333333"
"9","Just Chatting","75","1425","18","22","18","14.4"
"10","Magic: The Gathering","60","615","10","11","16","16"
"11","Town of Salem","30","375","12","13","20","40"
