"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","1665","9810","4","26","217","7.819819"
"2","Unlisted on Twitch","600","5370","6","18","70","7"
"3","Uncharted 4: A Thief's End","585","4755","7","15","53","5.435897"
"4","Bloodborne","450","3555","7","13","77","10.266666"
"5","Gravity Rush","300","1950","6","10","47","9.4"
"6","The Last of Us","285","4005","14","23","56","11.789473"
"7","Horizon Zero Dawn","225","1770","7","19","30","8"
"8","Art","180","645","2","7","16","5.333333"
"9","NieR: Automata","135","990","8","11","6","2.666666"
"10","Life is Strange 2","105","285","2","4","14","8"
"11","Dark Souls","45","360","8","10","21","28"
"12","Travel & Outdoors","30","150","5","5","5","10"
