"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","PUBG: BATTLEGROUNDS","2325","7005","2","41","922","23.793548"
"2","Garena Speed Drifters","1170","3000","2","14","338","17.333333"
"3","Among Us","540","1470","2","13","132","14.666666"
"4","Auto Chess","300","345","0","4","58","11.6"
"5","Teamfight Tactics","210","225","0","2","46","13.142857"
"6","Just Chatting","195","5430","31","43","247","76"
"7","Cyber Hunter","165","135","0","2","29","10.545454"
"8","Arena of Valor","150","585","3","6","18","7.2"
"9","DARK SOULS III","105","225","2","4","15","8.571428"
"10","Ring of Elysium","75","180","2","4","31","24.8"
"11","League of Legends","60","15","0","1","12","12"
