"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Path of Exile","3000","15810","4","16","280","5.6"
"2","Tekken 7","1305","9720","7","16","250","11.494252"
"3","Tropico 6","1080","5745","4","11","91","5.055555"
"4","Amnesia: The Dark Descent","585","3150","5","8","58","5.948717"
"5","Grand Theft Auto V","480","2790","5","10","47","5.875"
"6","Amnesia: A Machine for Pigs","240","1470","6","9","17","4.25"
"7","Anarcute","225","1140","5","8","22","5.866666"
"8","FAR: Lone Sails","210","1380","6","8","10","2.857142"
"9","Journey","120","720","6","9","15","7.5"
"10","Unlisted on Twitch","75","465","6","9","26","20.8"
"11","Portal 2","75","255","3","4","14","11.2"
"12","PUBG: BATTLEGROUNDS","60","390","6","8","4","4"
"13","Getting Over It with Bennett Foddy","45","270","6","7","5","6.666666"
"14","Hungry Shark World","45","315","7","10","6","8"
